,State,Highschoolgraduate,Bachelorsdegree,Advanceddegree
0,Tennessee,93.60,29.50,9.50
1,Minnesota,92.40,33.70,11.20
2,New Hampshire,92.30,34.90,13.00
3,Wyoming,92.30,25.70,8.60
4,Alaska,92.10,28.00,10.10
5,Vermont,91.80,36.00,14.30
6,North Dakota,91.70,27.70,7.60
7,Maine,91.60,29.00,10.30
8,Iowa,91.50,26.70,8.50
9,Utah,91.20,31.10,10.40
10,Hawaii,91.00,30.80,10.50
11,Wisconsin,91.00,27.80,9.40
12,South Dakota,90.90,27.00,8.00
13,Nebraska,90.70,29.30,9.70
14,Colorado,90.70,38.10,14.00
15,Washington,90.40,32.90,12.00
16,Kansas,90.20,31.00,11.00
17,Connecticut,89.90,37.60,16.60
18,Oregon,89.80,30.80,11.50
19,Massachusetts,89.80,40.50,17.70
20,Michigan,89.60,26.90,10.50
21,Idaho,89.50,25.90,8.20
22,Maryland,89.40,37.90,17.30
23,District of Columbia,89.30,54.60,31.30
24,Pennsylvania,89.20,28.60,11.20
25,Ohio,89.10,26.10,9.70
26,New Jersey,88.60,36.80,14.00
27,Delaware,88.40,30.00,12.20
28,Missouri,88.40,27.10,10.20
29,Virginia,88.30,36.30,15.40
30,Illinois,87.90,32.30,12.40
31,Indiana,87.80,24.10,8.70
32,Oklahoma,86.90,24.10,8.00
33,Florida,86.90,27.30,9.80
34,United States,86.70,29.80,11.20
35,Rhode Island,86.20,31.90,12.80
36,Arizona,86.00,27.50,10.20
37,North Carolina,85.80,28.40,9.90
38,New York,85.60,34.20,14.80
39,South Carolina,85.60,25.80,9.30
40,Montana,85.50,24.90,9.00
41,Georgia,85.40,28.80,10.70
42,Nevada,85.10,23.00,7.90
43,West Virginia,85.00,19.20,7.40
44,Arkansas,84.80,21.10,7.50
45,Alabama,84.30,23.50,8.70
46,New Mexico,84.20,26.30,11.50
47,Kentucky,84.20,22.30,9.20
48,Louisiana,83.40,22.50,7.70
49,Mississippi,82.30,20.70,7.70
50,Texas,81.90,27.60,9.40
51,California,81.80,31.40,11.60
52,Puerto Rico,73.00,,
