,Area,Year,Month,LaborForce,Employed,Unemployed,UnemploymentRate,AverageLaborForce,AverageEmployed,AverageUnemployed
Area,,,,,,,,,,
Year,,1.0,,0.971672939541023,0.9414637835382971,-0.025162268724846483,-0.33739221724115814,0.955476166619867,0.9507297442015724,-0.03931477849444862
Month,,,,,,,,,,
LaborForce,,0.971672939541023,,1.0,0.9814799187483879,-0.09123987996634,-0.41151957662133026,0.9634139878583045,0.9855890541959793,-0.13886548920594322
Employed,,0.9414637835382971,,0.9814799187483879,1.0,-0.2803161217650794,-0.5779317781627924,0.9345949083836836,0.9944528395585727,-0.3116004167217376
Unemployed,,-0.025162268724846483,,-0.09123987996634,-0.2803161217650794,1.0,0.9422380850165185,-0.030845037400784994,-0.23088854524858413,0.923965729942174
UnemploymentRate,,-0.33739221724115814,,-0.41151957662133026,-0.5779317781627924,0.9422380850165185,1.0,-0.34731797661299013,-0.5336118973872636,0.8878391709558161
AverageLaborForce,,0.955476166619867,,0.9634139878583045,0.9345949083836836,-0.030845037400784994,-0.34731797661299013,1.0,0.9461256019332591,-0.05977878500517701
AverageEmployed,,0.9507297442015724,,0.9855890541959793,0.9944528395585727,-0.23088854524858413,-0.5336118973872636,0.9461256019332591,1.0,-0.28734928654957786
AverageUnemployed,,-0.03931477849444862,,-0.13886548920594322,-0.3116004167217376,0.923965729942174,0.8878391709558161,-0.05977878500517701,-0.28734928654957786,1.0
