Highschoolgraduate,Bachelorsdegree,Advanceddegree
93.6,29.5,9.5
92.4,33.7,11.2
92.3,34.9,13
92.3,25.7,8.6
92.1,28,10.1
91.8,36,14.3
91.7,27.7,7.6
91.6,29,10.3
91.5,26.7,8.5
91.2,31.1,10.4
91,30.8,10.5
91,27.8,9.4
90.9,27,8
90.7,29.3,9.7
90.7,38.1,14
90.4,32.9,12
90.2,31,11
89.9,37.6,16.6
89.8,30.8,11.5
89.8,40.5,17.7
89.6,26.9,10.5
89.5,25.9,8.2
89.4,37.9,17.3
89.3,54.6,31.3
89.2,28.6,11.2
89.1,26.1,9.7
88.6,36.8,14
88.4,30,12.2
88.4,27.1,10.2
88.3,36.3,15.4
87.9,32.3,12.4
87.8,24.1,8.7
86.9,24.1,8
86.9,27.3,9.8
86.7,29.8,11.2
86.2,31.9,12.8
86,27.5,10.2
85.8,28.4,9.9
85.6,34.2,14.8
85.6,25.8,9.3
85.5,24.9,9
85.4,28.8,10.7
85.1,23,7.9
85,19.2,7.4
84.8,21.1,7.5
84.3,23.5,8.7
84.2,26.3,11.5
84.2,22.3,9.2
83.4,22.5,7.7
82.3,20.7,7.7
81.9,27.6,9.4
81.8,31.4,11.6
73,,
