Area,Year,Month,LaborForce,Employed,Unemployed,UnemploymentRate,AverageLaborForce,AverageEmployed,AverageUnemployed
1,2017,12,9586100,9161400,424700,4.4,9704683,9249208,455475
1,2016,12,9570100,9135700,434400,4.5,9668692,9200267,468408
1,2015,12,9627300,9172300,454900,4.7,9644625,9136150,508450
1,2014,12,9523900,9000800,523100,5.5,9591292,8984075,607225
1,2013,12,9540800,8900600,640200,6.7,9659175,8913783,745383
1,2012,12,9607500,8827000,780500,8.1,9612233,8793383,818841
1,2011,12,9527700,8726000,801700,8.4,9517350,8728050,789308
1,2010,12,9476200,8697200,778900,8.2,9595358,8769733,825625
1,2009,12,9490400,8659900,830500,8.8,9647483,8844492,802991
1,2008,12,9673900,9043800,630100,6.5,9664775,9139092,525691
1,2007,12,9550400,9093200,457200,4.8,8522058,9088200,433858
1,2006,12,9507800,9127700,380100,4,9508150,9077525,430616
1,2005,12,9473000,9028100,444900,4.7,9460867,8986867,474008
1,2004,12,9397400,8906200,491200,5.2,9355950,8812617,543316
1,2003,12,9219300,8654500,564800,6.1,9263417,8672917,590500
1,2002,12,9277200,8697300,579900,6.3,9275508,8705350,570158
1,2001,12,9188000,8644600,543400,5.9,9151733,8709900,441850
1,2000,12,9135900,8764600,371400,4.1,9133875,8718750,415125
1,1999,12,9116700,8704400,412300,4.5,9126567,8654583,471966
1,1998,12,9082900,8618600,464300,5.1,9071833,8562175,509650
1,1997,12,9020200,8500600,519600,5.8,9012225,8432583,579650
1,1996,12,8847300,8309700,537600,6.1,8785700,8237117,548591
1,1995,12,8610500,8092600,517900,6,8661125,8112692,548441
1,1994,12,8613100,8116500,496600,5.8,8678492,8075917,602575
1,1993,12,8673000,8029500,643500,7.4,8715600,8026508,689083
1,1992,12,8715500,7988700,726800,8.3,8751225,7997600,753625
1,1991,12,8644200,7969500,674700,7.8,8741100,8108250,632841
1,1990,12,8749600,8240600,509000,5.8,8813267,8343358,469925
1,1989,12,8717800,8276500,441300,5.1,8698808,8265192,433600
1,1988,12,8581900,8195600,386300,4.5,8546483,8181117,365358
1,1987,12,8490100,8126200,363900,4.3,8482358,8067767,414575
1,1986,12,8393900,7959100,434700,5.2,8438625,7913633,524983
1,1985,12,8358300,7842100,516200,6.2,8293108,7744492,548600
1,1984,12,8095000,7567300,527800,6.5,8104558,7523850,580725
1,1983,12,8014700,7419500,595300,7.4,8037292,7340383,696941
1,1982,12,7924700,7202700,722100,9.1,7978967,7303308,675675
1,1981,12,7924500,7307300,617200,7.8,8020615,7408623,612015
1,1980,12,7932800,7361800,571000,7.2,7974350,7378758,595600
1,1979,12,8020600,7466900,553700,6.9,7997067,7424200,572875
1,1978,12,7912000,7349000,563000,7.1,7847917,7239600,608308
1,1977,12,7767100,7149500,617600,8,7731392,7024775,706608
1,1976,12,7650700,6888900,761700,10,7692550,6905367,787175
