Area,Year,Month,LaborForce,Employed,Unemployed,UnemploymentRate
New York State,2017,12,9586100,9161400,424700,4.40
New York State,2016,12,9570100,9135700,434400,4.50
New York State,2015,12,9627300,9172300,454900,4.70
New York State,2014,12,9523900,9000800,523100,5.50
New York State,2013,12,9540800,8900600,640200,6.70
New York State,2012,12,9607500,8827000,780500,8.10
New York State,2011,12,9527700,8726000,801700,8.40
New York State,2010,12,9476200,8697200,778900,8.20
New York State,2009,12,9490400,8659900,830500,8.80
New York State,2008,12,9673900,9043800,630100,6.50
New York State,2007,12,9550400,9093200,457200,4.80
New York State,2006,12,9507800,9127700,380100,4.00
New York State,2005,12,9473000,9028100,444900,4.70
New York State,2004,12,9397400,8906200,491200,5.20
New York State,2003,12,9219300,8654500,564800,6.10
New York State,2002,12,9277200,8697300,579900,6.30
New York State,2001,12,9188000,8644600,543400,5.90
New York State,2000,12,9135900,8764600,371400,4.10
New York State,1999,12,9116700,8704400,412300,4.50
New York State,1998,12,9082900,8618600,464300,5.10
New York State,1997,12,9020200,8500600,519600,5.80
New York State,1996,12,8847300,8309700,537600,6.10
New York State,1995,12,8610500,8092600,517900,6.00
New York State,1994,12,8613100,8116500,496600,5.80
New York State,1993,12,8673000,8029500,643500,7.40
New York State,1992,12,8715500,7988700,726800,8.30
New York State,1991,12,8644200,7969500,674700,7.80
New York State,1990,12,8749600,8240600,509000,5.80
New York State,1989,12,8717800,8276500,441300,5.10
New York State,1988,12,8581900,8195600,386300,4.50
New York State,1987,12,8490100,8126200,363900,4.30
New York State,1986,12,8393900,7959100,434700,5.20
New York State,1985,12,8358300,7842100,516200,6.20
New York State,1984,12,8095000,7567300,527800,6.50
New York State,1983,12,8014700,7419500,595300,7.40
New York State,1982,12,7924700,7202700,722100,9.10
New York State,1981,12,7924500,7307300,617200,7.80
New York State,1980,12,7932800,7361800,571000,7.20
New York State,1979,12,8020600,7466900,553700,6.90
New York State,1978,12,7912000,7349000,563000,7.10
New York State,1977,12,7767100,7149500,617600,8.00
New York State,1976,12,7650700,6888900,761700,10.00
