Area,Year,Month,LaborForce,Employed,Unemployed,UnemploymentRate
New York State,2018,1,9658400,9163900,494500,5.10
New York State,2018,2,9676200,9180900,495300,5.10
New York State,2018,3,9632100,9174000,458100,4.80
New York State,2018,4,9620000,9201800,418200,4.30
New York State,2018,5,9628100,9271900,356200,3.70
New York State,2018,6,9803500,9393000,410500,4.20
New York State,2018,7,9834700,9416900,417800,4.20
New York State,2017,1,9619800,9115700,504100,5.20
New York State,2017,2,9678400,9168700,509700,5.30
New York State,2017,3,9711000,9258000,453000,4.70
New York State,2017,4,9687000,9265600,421400,4.40
New York State,2017,5,9690500,9261900,428600,4.40
New York State,2017,6,9794300,9341300,453000,4.60
New York State,2017,7,9858500,9372700,485700,4.90
New York State,2017,8,9767100,9285400,481800,4.90
New York State,2017,9,9743400,9296700,446700,4.60
New York State,2017,10,9683400,9253600,429800,4.40
New York State,2017,11,9636700,9209500,427200,4.40
New York State,2017,12,9586100,9161400,424700,4.40
New York State,2016,1,9651500,9141400,510100,5.30
New York State,2016,2,9697100,9183700,513400,5.30
New York State,2016,3,9712000,9223100,488900,5.00
New York State,2016,4,9636200,9195800,440400,4.60
New York State,2016,5,9631800,9215600,416200,4.30
New York State,2016,6,9723000,9261800,461200,4.70
New York State,2016,7,9779100,9284900,494100,5.10
New York State,2016,8,9711900,9226600,485300,5.00
New York State,2016,9,9651900,9175700,476100,4.90
New York State,2016,10,9658100,9192200,465900,4.80
New York State,2016,11,9601600,9166700,434900,4.50
New York State,2016,12,9570100,9135700,434400,4.50
New York State,2015,1,9594300,8982900,611400,6.40
New York State,2015,2,9606200,9008800,597400,6.20
New York State,2015,3,9605800,9063500,542300,5.60
New York State,2015,4,9613100,9111200,501900,5.20
New York State,2015,5,9686000,9171100,514900,5.30
New York State,2015,6,9732800,9222800,509900,5.20
New York State,2015,7,9760400,9237800,522600,5.40
New York State,2015,8,9681400,9198000,483400,5.00
New York State,2015,9,9575900,9124200,451700,4.70
New York State,2015,10,9634700,9181000,453600,4.70
New York State,2015,11,9617600,9160200,457400,4.80
New York State,2015,12,9627300,9172300,454900,4.70
New York State,2014,1,9558100,8851400,706700,7.40
New York State,2014,2,9594400,8869600,724800,7.60
New York State,2014,3,9614100,8935700,678400,7.10
New York State,2014,4,9514800,8941500,573300,6.00
New York State,2014,5,9574800,8980300,594500,6.20
New York State,2014,6,9663400,9063400,600000,6.20
New York State,2014,7,9712400,9078900,633500,6.50
New York State,2014,8,9628900,9023400,605500,6.30
New York State,2014,9,9537400,8984900,552600,5.80
New York State,2014,10,9606700,9062700,544000,5.70
New York State,2014,11,9566600,9016300,550300,5.80
New York State,2014,12,9523900,9000800,523100,5.50
New York State,2013,1,9646600,8767800,878800,9.10
New York State,2013,2,9622200,8784000,838200,8.70
New York State,2013,3,9589700,8827200,762500,8.00
New York State,2013,4,9604100,8897900,706200,7.40
New York State,2013,5,9678400,8952100,726300,7.50
New York State,2013,6,9787900,9017300,770600,7.90
New York State,2013,7,9824400,9050600,773800,7.90
New York State,2013,8,9742700,8996200,746500,7.70
New York State,2013,9,9664300,8947800,716500,7.40
New York State,2013,10,9616200,8901800,714300,7.40
New York State,2013,11,9592800,8922100,670700,7.00
New York State,2013,12,9540800,8900600,640200,6.70
New York State,2012,1,9515500,8635700,879800,9.20
New York State,2012,2,9570400,8673700,896700,9.40
New York State,2012,3,9566700,8717100,849600,8.90
New York State,2012,4,9525600,8743900,781700,8.20
New York State,2012,5,9612700,8802500,810100,8.40
New York State,2012,6,9706100,8858800,847300,8.70
New York State,2012,7,9724300,8855000,869300,8.90
New York State,2012,8,9640800,8820900,819900,8.50
